source,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1111/jace.13578,6.2,3,1.2,0,0,0.8,76,4.9E-06,-5.30980392,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1149/2.013405jes,6.3,3,1.3,0,0,0.7,96,0.00032,-3.494850022,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2018.09.245,6.4,3,1.4,0,0,0.6,91,0.000326,-3.4867824,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.elecom.2018.07.001,6.4,3,1.4,0,0,0.6,,0.00028,-3.552841969,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1111/jace.13578,6.4,3,1.4,0,0,0.6,84,0.00023,-3.638272164,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.11.027,6.4,3,1.4,0,0,0.6,,0.000195,-3.709965389,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2013.10.089,6.87,2.97,1.6,0,0,0.56,,0.00135,-2.869666232,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2013.10.089,7.07,2.87,1.53,0,0,0.54,,0.00029,-3.537602002,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2018.09.245,6.5,3,1.5,0,0,0.5,93,0.000617,-3.209714836,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2012.01.094,6.5,3,1.5,0,0,0.5,,2E-06,-5.698970004,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ensm.2019.01.018,6.5,3,1.5,0,0,0.5,97,0.00056,-3.251811973,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ensm.2019.01.018,6.5,3,1.5,0,0,0.5,66,1.4E-08,-7.853871964,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ensm.2019.01.018,6.5,3,1.5,0,0,0.5,80,1.1E-06,-5.958607315,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ensm.2019.01.018,6.5,3,1.5,0,0,0.5,86,1.8E-06,-5.744727495,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ensm.2019.01.018,6.5,3,1.5,0,0,0.5,93,1.4E-05,-4.853871964,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2020.01.106,6.5,3,1.5,0,0,0.5,96.9,0.00085,-3.070581074,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1149/2.013405jes,6.5,3,1.5,0,0,0.5,,0.00045,-3.346787486,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2013.10.089,7.13,2.93,1.48,0,0,0.47,,0.0001,-4,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2013.10.089,6.94,3.05,1.54,0,0,0.47,,0.000418,-3.378823718,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2013.10.089,7.11,2.95,1.49,0,0,0.46,,0.000108,-3.966576245,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2018.09.245,6.6,3,1.6,0,0,0.4,96,0.000668,-3.175223538,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssnmr.2015.05.002,6.6,3,1.6,0,0,0.4,,0.00037,-3.431798276,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1111/jace.13578,6.6,3,1.6,0,0,0.4,81,0.00015,-3.823908741,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.11.027,6.6,3,1.6,0,0,0.4,,7.85E-05,-4.105130343,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2018.09.245,6.7,3,1.7,0,0,0.3,92,0.00103,-2.987162775,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1039/c9ta00417c,6.75,3,1.75,0,0,0.25,99.6,0.00043,-3.366531544,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1149/2.1031915jes,6.75,3,1.75,0,0,0.25,92,0.00069,-3.161150909,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1149/2.013405jes,6.75,3,1.75,0,0,0.25,96.7,0.000655,-3.1837587,1,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2018.09.245,6.8,3,1.8,0,0,0.2,88,0.000129,-3.88941029,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1111/jace.13578,6.8,3,1.8,0,0,0.2,74,2.2E-06,-5.657577319,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.11.027,6.8,3,1.8,0,0,0.2,,6.54E-05,-4.184422252,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsenergylett.8b00453,5.9,3,1.75,0.2,0,0.25,,0.00052,-3.283996656,1,Combined,Al,,W,53,3,1.61,26.982,13,5.95,41.762,118,53.5,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1016/j.electacta.2015.08.046,5.9,3,1.45,0,0,0.55,95,0.00044,-3.356547324,1,Zr site,,,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1016/j.electacta.2015.08.046,6.1,3,1.55,0,0,0.45,96,0.00064,-3.193820026,1,Zr site,,,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1016/j.electacta.2015.08.046,6.3,3,1.65,0,0,0.35,96,0.00066,-3.180456064,1,Zr site,,,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1063/1.4818971,6.4,3,1.7,0,0,0.3,,0.000789,-3.102922997,1,Zr site,,,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1016/j.electacta.2015.08.046,6.5,3,1.75,0,0,0.25,93,0.00049,-3.30980392,1,Zr site,,,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1063/1.4818971,6,3,1.5,0,0,0.5,,0.000208,-3.681936665,0,Zr site,,,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1016/j.electacta.2015.08.046,6.7,3,1.85,0,0,0.15,91,0.00027,-3.568636236,1,Zr site,,,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6,2.36,183.8418,74,7.98,78.76,193,60
10.1016/j.elecom.2011.08.014,7.06,3,1.94,0,0,0.06,,0.000956,-3.019542108,1,Zr site,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3,1.22,151.9644,63,6.217,11.2,231,90
