source,Publication year,T of the conductivity C,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1016/j.ceramint.2020.01.106,,,6.5,3,1.5,0,0,0.5,87.1,0.00022,-3.657577319,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2020.01.106,,,6.5,3,1.5,0,0,0.5,92.1,0.00043,-3.366531544,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2020.01.106,,,6.5,3,1.5,0,0,0.5,92.3,0.000686,-3.163675884,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2020.01.106,,,6.5,3,1.5,0,0,0.5,93.3,0.000417,-3.379863945,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2020.01.106,,,6.5,3,1.5,0,0,0.5,95.6,0.000531,-3.274905479,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2020.01.106,,,6.5,3,1.5,0,0,0.5,96.9,0.00085,-3.070581074,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.3390/ma13030560,,,6.6,3,1.6,0,0,0.4,86.7,0.000158,-3.801342913,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.3390/ma13030560,,,6.6,3,1.6,0,0,0.4,87.3,0.000509,-3.293282218,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.3390/ma13030560,,,6.6,3,1.6,0,0,0.4,90.4,0.000349,-3.457174573,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.3390/ma13030560,,,6.6,3,1.6,0,0,0.4,90.3,0.000709,-3.149353765,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.3390/ma13030560,,,6.6,3,1.6,0,0,0.4,83.4,0.000809,-3.092051478,,Zr site,,,nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1016/j.jallcom.2020.157143,,,6.6,3,1.6,0,0,0.4,92,0.000909,-3.041436117,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.62,2.98,1.6,0,0.02,0.4,88.8,0.001009,-2.996108834,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.64,2.96,1.6,0,0.04,0.4,88.25,0.001109,-2.955068454,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.66,2.94,1.6,0,0.06,0.4,87.5,0.001209,-2.917573699,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.68,2.92,1.6,0,0.08,0.4,87.1,0.001309,-2.883060353,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.4,3,1.4,0,0,0.6,93.9,0.001409,-2.851089007,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.42,2.98,1.4,0,0.02,0.6,93.4,0.001509,-2.82131076,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.44,2.96,1.4,0,0.04,0.6,92.9,0.001609,-2.793443956,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.46,2.94,1.4,0,0.06,0.6,92.8,0.001709,-2.767257937,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2020.157143,,,6.48,2.92,1.4,0,0.08,0.6,91,0.001809,-2.742561433,,Combined,,ba,ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
